Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;Sum;Average
Poljanec;Suzana;OK Azimut;B;0:29:08;5;100;285;;;;;-;;100;385;192
Kavcic;Matjaz;ind.;B;;;;;;;203;178;;;;381;190
Štor;Luka;PD Ajdovščina;B;;;;363;;;;;;;;363;363
Burger;Veronika;OK Polaris;B;0:32:17;6;88;;;;;;;267;88;355;178
Kerestes;Kreso;OK Trzin;B;;;;;;;;345;;;;345;345
Foški;Tajda;OK Polaris;B;;;;;;338;;;;;;338;338
Radovan;Dalibor;OK Polaris;B;;;;;332;;;;;;;332;332
Lazar;Nejc;OK Azimut;B;;;;;;;;;;319;;319;319
Kete;Jana;PD Ajdovščina;B;;;;-;166;;;;;134;;300;150
Nelson;Charles;Harlequins OC;B;;;;291;;;;;;;;291;291
Casagrande;Eva;OK Tivoli;B;;;;;289;;;;;;;289;289
Černigoj;Nina;PD Ajdovščina;B;;;;;;;;;;288;;288;288
Flašker;Ana;ind.;B;;;;;;;;;285;;;285;285
Stanonik;Simon;OK Azimut;B;;;;;;;;;273;;;273;273
Žižek;Saša;OK Azimut;B;;;;;273;;;;;;;273;273
Pretnar;Tanja;OK Azimut;B;;;;;268;;;;;;;268;268
Zager;Miha;RJZ Velenje;B;;;;153;114;;;;;;;267;134
Špenko;Magda;OK Komenda;B;;;;;;;;257;;;;257;257
Simonič;Matjaž;PD Ajdovščina;B;;;;255;;;;;;;;255;255
Jerman;Lara;OK Trzin;B;mp;;;;;;;;;253;-;253;253
Močnik;Matic;OK Azimut;B;;;;;;;;;252;;;252;252
Stojčevski;Loreta;OK Brežice;B;;;;-;;-;;;;249;;249;249
Pretnar;Irma;OK Azimut;B;;;;;246;;;;;;;246;246
Škvarč;Dejan;PD Ajdovščina;B;;;;242;;;;;;;;242;242
Ursa;Begus;OK Azimut;B;;;;;;;;238;;;;238;238
Frankovic;Samo;RJZ Velenje;B;;;;;;234;;;;;;234;234
Keresteš;Mateja;OK Trzin;B;;;;;;;;226;;;;226;226
Aljančič;Nataša;OK Komenda;B;;;;;;;;221;;;;221;221
Beguš;Urša;OK Azimut;B;;;;;;;;;217;;;217;217
Bonfiglioli;Leonardo;SSD Gaja;B;;;;211;;;;;;;;211;211
Stres;Špela;Carpe Diem;B;;;;;198;;;;;;;198;198
Frankovic;Ajda;RJZ Velenje  KT;B;;;;;;-;;194;;;;194;194
Zabukovec;Klemen;PD Ajdovščina;B;;;;;190;;;;;-;;190;190
Soklič;Franci;ind.;B;;;;;175;;;;;;;175;175
Slejko;Nik;PD Ajdovščina;B;;;;173;;;;;;;;173;173
Petkovič;Tanja;OK Polaris;B;;;;;170;;;;;;;170;170
Matic;Mocnik;OK Azimut;B;;;;;;;;165;;;;165;165
Moravec;Gašper;OK Azimut;B;;;;164;;;;;;;;164;164
Babic;Anja;OK Trzin;B;;;;;;;;156;;;;156;156
Pahor;Maj Peter;PD Ajdovščina;B;;;;;;;;;150;;;150;150
Belc;Sabina;ind.;B;;;;;145;;;;;;;145;145
Rijavec;Andraž;PD Ajdovščina;B;;;;138;;;;;;;;138;138
Bohinc;Vanja;OK Komenda;B;;;;;;;;129;;;;129;129
Strnad;Urska;IndividualsNo Club;B;;;;;;;;117;;;;117;117
Remškar;Žan;PD Ajdovščina;B;;;;113;;;;;;;;113;113
Volkar;Druzina;IndividualsNo Club;B;;;;;;;;111;;;;111;111
Peter Pahor;Maj;PD Ajdovščina;B;;;;88;;;;;;;;88;88
Mirnik;Jona;OK Komenda;B;mp;;;;;;;;;;-;0;0
Harej;Daša;PD Ajdovščina;C;;;;60;116;94;;;84;;;354;88
Pogačar;Ana Pia;ind.;C;;;;;95;;99;76;;;;270;90
Zavrl;Zala;OK Komenda;C;;;;;102;;71;68;;;;241;80
Soban;Matic;PD Ajdovščina;C;;;;68;107;64;;;;-;;239;80
Ravnikar;Nika;OK Komenda;C;;;;;-;88;105;42;;;;235;78
Petkovšek;Gal;OK Azimut;C;;;;88;;108;;;;;;196;98
Anderluh;Luka;OK Polaris;C;;;;;92;;;;;103;;195;98
Podgornik;Eva;PD Ajdovščina;C;;;;66;105;;;;;;;171;86
Beguš;Urša;OK Azimut;C;;;;47;;106;;;;;;153;76
Zupan;Neža;OK Polaris;C;;;;55;79;;;;;;;134;67
Stanovnik;Simon;OK Azimut;C;;;;118;;;;;;;;118;118
Kovač;Marija;PD Ajdovščina;C;;;;;118;;;;;-;;118;118
Mc Quarrie;Nina;OK Komenda;C;;;;;;;;110;;;;110;110
Primožič;An;OK Azimut;C;;;;;;;;;104;;;104;104
Mcquarrie;Nina;OK Komenda;C;;;;;;101;;;;;;101;101
Krhlikar;Denis;OK Azimut;C;;;;95;;;;;;;;95;95
Skusek;Mark;OK Komenda;C;;;;;;55;;39;;;;94;47
Kmetič;Zarja;OK Polaris;C;;;;;;;;;;93;;93;93
Mlekuž;Gorazd;PD Ajdovščina;C;;;;90;;;;;;;;90;90
Makovec;Uršula;Planinsko Društvo Ajdovščina;C;;;;;89;;;;;;;89;89
