Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;Sum;Average
Pretnar;Irma;Kamniški OK;B;;;;;139;;;;;;;139;139
Šorli B D;Blaž;Planinsko društvo Tolmin;B;0:57:34;13;126;;;;;;;;126;126;126
Veselič;Aleš;ind.;B;;;;;;;;125;;;;125;125
Fon;Jure;ind.;B;1:06:50;14;107;;;;;;;;107;107;107
Valič;Jakob;PD Ajdovščina;B;;;;87;;;;;;;;87;87
Krivičić;Dragan;OK Perkmandeljc;B;;;;;;;;60;;;;60;60
Bogataj;Rok;OK Azimut;C;0:19:05;1;112;125;104;;108;;;107;112;556;111
Obid;Neža;OK Azimut;C;0:23:33;4;90;130;113;;82;;106;-;90;521;104
Gantar;Primož;OK Azimut;C;0:20:03;2;106;69;93;;98;;79;108;106;484;97
Obid;Aljaž;OK Azimut;C;0:21:15;3;100;;122;;104;;;106;100;432;108
Gantar;Borut;OK Azimut;C;0:33:39;10;60;78;72;;73;;87;104;60;414;83
Eržen;Nea;OK Azimut;C;0:27:58;7;74;123;74;;86;;;;74;357;89
Obid;Maja;OK Azimut;C;0:30:20;8;68;56;65;;69;;60;;68;318;64
Serženta Seljak;Zala;OK Azimut;C;;;;55;60;;;;76;111;;302;76
Kremžar;Lucija;OK Komenda;C;;;;;75;;58;92;;54;;279;70
Letonja;Arlina;OK Azimut;C;;;;97;56;;;;;110;;263;88
Sedej;David;OK Azimut;C;0:25:21;5;83;;71;;;99;;;83;253;84
Cokan;Jan;OK Komenda;C;;;;119;102;;;;;;;221;110
Švigelj;Zala Mia;OK Komenda;C;;;;107;;;;102;;;;209;104
Trunk;Nejc;OK Komenda;C;;;;113;79;;;;;;;192;96
Močnik;Jana;OK Azimut;C;;;;;;;80;;;100;;180;90
Trunk;Neža;OK Komenda;C;;;;84;88;;;;;;;172;86
Gombač Šuc;Elena;ind.;C;;;;53;;;;89;;;;142;71
Kremžar;Florijan;Posameznikibrez kluba;C;;;;;43;;40;;;53;;136;45
Kurinčič;Jakob;OK Komenda;C;;;;64;63;;;;;;;127;64
Brus;Jakob;OK Azimut;C;;;;;;;116;;;;;116;116
Jeraj;Ajda;OK Komenda;C;;;;51;;;;64;;;;115;58
Letonja;Peter;OK Azimut;C;;;;;;;;;;112;;112;112
Kolner;Brina;ind.;C;;;;;;;;111;;;;111;111
Eržen;Nika;OK Azimut;C;0:43:08;12;45;;;;66;;;;45;111;56
Salopek;Dorja;OK Azimut;C;;;;102;;;;;;;;102;102
Švigelj;Luka;OK Komenda;C;;;;99;;;;;;;;99;99
Šuc;Timotej;ind.;C;;;;95;;;;;;;;95;95
Gmajner;Miha;OK Komenda;C;;;;92;;;;;;;;92;92
Kölner;Brina;OK Komenda;C;;;;91;;;;;;;;91;91
Erjavec;Andrej;OK Azimut;C;;;;89;;;;;;;;89;89
Malus;Marta;OK Komenda;C;;;;87;;;;;;;;87;87
Šuc;Enej;Posameznikibrez kluba;C;;;;;53;;;33;;;;86;43
Ilovar;Pia;OK Tivoli;C;;;;;;;;85;;;;85;85
Bogataj;Nataša;OK Azimut;C;;;;85;;;;;;;;85;85
Škvarča;Aljaž;OK Azimut;C;;;;;;;;;82;;;82;82
Kragelj;Blaž;ind.;C;0:26:54;6;78;;;;;;;;78;78;78
Malus;Ožbej;OK Komenda;C;;;;;77;;;;;;;77;77
Kolner;Anže;ind.;C;;;;;;;;76;;;;76;76
Čibej;Barbara;OK Azimut;C;;;;75;;;;;;-;;75;75
Istenič;Maja;OK Azimut;C;;;;25;;;49;;;;;74;37
Kölner;Anže;OK Komenda;C;;;;73;;;;;;;;73;73
Sedej;Rok;OK Azimut;C;;;;;69;;;;;-;;69;69
Kremžar;Florjan;ind.;C;;;;;;;;68;;;;68;68
Poženel;Leila Ema;Planinsko društvo Tolmin;C;0:32:07;9;63;;;;;;;;63;63;63
Saksida;Nina;OK Komenda;C;;;;61;;;;;;;;61;61
Lončar;Naja;OK Komenda;C;;;;59;;;;;;;;59;59
Zupan;Lara;OK Komenda;C;;;;;;;;59;;;;59;59
Jerebič;Simon Erik;OK Komenda;C;;;;57;;;;;;;;57;57
Kern;Patricija;OK Komenda;C;;;;;57;;;;;;;57;57
Mamič;Hana;PD Ajdovščina;C;;;;;;;;;;57;;57;57
Lozar;Zala;PD Ajdovščina;C;;;;;;;;;;56;;56;56
Obid;Anže;OK Azimut;C;;;;;;;56;;;;;56;56
Malus;Drejc;OK Komenda;C;;;;;52;;;;;;;52;52
Šorli;Neža;Planinsko društvo Tolmin;C;0:39:44;11;50;;;;;;;;50;50;50
Plevel;Patrik;OK Komenda;C;;;;46;;;;;;;;46;46
Majdič;Špela;OK Azimut;C;;;;;;;42;;;;;42;42
Korenčan;Još;Posameznikibrez kluba;C;;;;;35;;;;;;;35;35
Kacin;Marisa;Posamezniki  brez kluba;C;;;;;;;34;;;;;34;34
Haulina;Žare;ind.;C;mp;;;;;;;;;;-;0;0
