Surname;First name;Cl.name;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;ZL9;ZL10;ZL11;ZL12;ZL13;ZL14;ZL15;ZL16;Sum;Average
Hauptman;Matej;RJZ Velenje;A;;;;;;;;;;;;835;;;;;;;;835;835
Predonzani;Livio;CAI XXX Ottobre;A;;;;;;;;;;;814;;;;;;;;;814;814
Hvala;Tomaž;OK Azimut;A;0:50:34;26;785;;;;;;;;;;;;;;;;785;785;785
Šegula;Aljaž;OK Polaris;A;;;;-;;;;;;778;;;;;;;;;;778;778
Obersnel;Marco;Semiperdo Maniago;A;;;;;;;;;;;;;736;;;;;;;736;736
Tremul;Michael;CAI XXX Ottobre;A;;;;;;;;;;;730;;;;;;;;;730;730
Roveri;Alessio;SSD Gaja;A;;;;;;;;;;;718;;;;;;;;;718;718
Plavčak;Ana;OK Azimut;A;;;;;;;644;;;;68;;;;;;;;;712;356
Kolner;Blaž;;A;;;;;;;;;;;;;;;701;;;;;701;701
Sylvester;Mark;CAI XXX Ottobre;A;;;;;;;;;;;;;698;;;;;;;698;698
Palusa;Sergio;CAI XXX Ottobre;A;;;;;;;;;;;;;690;;;;;;;690;690
Ruzzier;Fiorenzo;SSD Gaja;A;;;;;;;;;;;;;569;;;;110;;;679;340
Zambiasi;Clizia;Semiperdo Maniago;A;;;;;;;;;;;;;;;;;674;;;674;674
Kolman;Miran;OK Azimut;A;;;;;;;;661;;;;;;;;;;;;661;661
Keresteš;Krešo;OK Trzin;A;;;;;;657;;;;;;;;;;;;;;657;657
Dragarin;Meta;;A;;;;;;;;;;;;;;;655;;;;;655;655
Kolar;Ana Marija;OK RJZ;A;0:59:11;32;644;;;;;;;;;;;;;;;;644;644;644
Apollonio;Fulvio;Corivorivo;A;;;;;;;;;;;616;;;;;;;;;616;616
Germani;Marko;SSD Gaja;A;1:01:48;33;601;;;;;;;;;;;;;;;;601;601;601
Rejec;Gašper;OK Azimut;A;1:04:14;35;562;;;;;;-68;;;;;;;;;;562;562;562
Bukovnik;Tina;OK RJZ;A;1:05:13;37;546;;;;;;;;;;;;;;;;546;546;546
Majnik;Tilen;OK Azimut;A;;;;;;;;;;;533;;;;;;;;;533;533
Almerigogna;Guido;SSD Gaja;A;;;;;;;;;;;525;;;;;;;;;525;525
Čebašek;Jure;OK Polaris;A;;;;;;;;;;509;;;;;;;;;;509;509
Zupančič;Maja;;A;;;;;;;;;;;;;;;434;;;;;434;434
Vecchies;Donatella;Semiperdo Maniago;A;;;;;;;;;;;;;421;;;;;;;421;421
Siega;Gianfranco;SSD Gaja;A;;;;;;;;;;;375;;;;;;;;;375;375
Smolej;Katarina;OK Azimut;A;;;;;;374;;;;;;;;;;;;;;374;374
Gaion;Sara;Orienteering Trieste;A;;;;;;;;;;;;;350;;;;23;;;373;186
Toffanin;Fabio;Cai xxx ottobre;A;;;;;;;;;;;;;;;;;328;;;328;328
Ruzzier;Margherita;CAI XXX Ottobre;A;;;;;;;;;;;;;322;;;;;;;322;322
Xausa;Gabriella;Friuli MTB;A;;;;;;;;;;;;;321;;;;;;;321;321
Mirnik;Jona;OK Komenda;A;;;;309;;;;;;;;;;;;;;;;309;309
Gajon;Sara;Orienteering Trieste;A;;;;;;;;;;;296;;;;;;;;;296;296
Vlahovič;Živa;;A;;;;;;;;;;;;;;;255;;;;;255;255
Pelessoni;Renato;SSD Gaja;A;;;;;;;;;;;;;;;;;217;;;217;217
Cereatti;Roberto;Friuli MTB;A;;;;;;;;;;;162;;;;;;;;;162;162
Dučak;Igor;ind.;A;;;;;;;;;152;;;;;;;;;;;152;152
Luin;Rinaldo;SSD Gaja;A;;;;;;;;;;;120;;-25;;;;-47;;;120;120
Rejec;Gašper;OK Azimut;B;;;;366;330;354;339;;;;364;351;332;;241;;269;;;1774;355
Poljanšek;Katjuša;OK Azimut;B;0:37:25;14;256;287;;268;206;;324;;404;;;;;;;;256;1539;308
Petrovic;Gašper;OK Polaris;B;0:28:06;7;356;;241;;183;142;;246;333;264;305;;203;;;226;356;1504;301
Slapničar;Anja;RJZ Velenje;B;;;;220;323;265;;266;;;;;;;236;;;302;;1392;278
Štor;Luka;PD Ajdovščina;B;;;;;;320;231;;;222;305;;;;;;307;;;1385;277
Zupan;Polona;OK Polaris;B;0:36:56;12;266;;;276;-;;;215;326;;;;;;262;247;266;1377;275
Vukajlovič;Vladan;DGN SP;B;0:48:47;16;196;291;126;194;224;;194;;141;347;286;;;;;;196;1344;269
Foschian;Andrea;Semiperdo Maniago;B;;;;;;;;;;;468;;423;;;;396;;;1287;429
Šalamun;Jan;OK Polaris;B;;;;330;;;;;;282;;354;;;;;;275;;1241;310
Škarabot;Matej;OK Polaris;B;;;;;273;229;;;;322;391;;;;;;;;;1215;304
Kristan;Martin;OK Komenda;B;0:27:31;6;366;;;;;220;;;;297;;;302;;;;366;1185;296
Črnigoj;Nina;PD Ajdovščina;B;;;;-;236;235;243;;;;243;;;;;;179;;;1136;227
Rejec;Pavel;DGN SP;B;;;;-;256;279;-;;175;;-;254;161;;;;111;;;1125;225
Ravnikar;Monika;OK Komenda;B;0:27:09;5;374;295;;;;;;;;244;;;191;;;;374;1104;276
Ferluga;Peter;SSD Gaja;B;;;;;;;;;;;436;;388;;;;234;;;1058;353
Rupnik;Andraž;OK Azimut;B;0:32:04;8;315;;;246;212;;188;;-;;;;;;;;315;961;240
Ravnikar;Žan;OK Komenda;B;0:24:49;2;414;;;;;;;;;280;;;187;;;;414;881;294
Škvarč;Teja;PD Ajdovščina;B;0:39:00;15;243;114;184;158;127;;159;;;;;;;;;;243;871;174
Pretnar;Irma;OK Azimut;B;;;;193;250;202;;;;;218;;;;;;;;;863;216
Fortunati;Alberto;Orienteering Trieste;B;;;;;;;;;;;420;;218;;;;224;;;862;287
Sergas;Mauro;CAI XXX Ottobre;B;;;;;;;;;;;395;;414;;;;;;;809;404
Sepin;Chiara;SSD Gaja;B;;;;;;;;;;;259;;326;;;;210;;;795;265
Anderluh;Marija;OK Polaris;B;;;;;;;217;;;250;;;;;;;;327;;794;265
Rejec;Marjana;DGN SP;B;;;;110;144;123;-;;144;;168;212;109;;;;73;;;791;158
Cibin;Irene;CAI XXX Ottobre;B;;;;;;;;;;;318;;228;;;;228;;;774;258
Germani;Marko;SSD Gaja;B;;;;;;;;;;;312;;225;;;;205;;;742;247
Aljančič;Eva;ind.;B;0:24:47;1;417;;;;;;;;;316;;;;;;;417;733;366
Sinigaglia;Antonella;SSD Gaja;B;0:49:07;17;191;;;;;;;;148;;194;;;;146;;191;679;170
Zupan;Aleš;OK Polaris;B;;;;;;;;;;345;;;;;333;;;;;678;339
Mattioni;Flavio;Semiperdo Maniago;B;;;;;;;;;;;298;;355;;;;;;;653;326
Scolini;Camilla;CAI XXX Ottobre;B;;;;;;;;;;;295;;358;;;;;;;653;326
Kovač;Marija;PD Ajdovščina;B;0:54:46;18;170;;;;;;;;;194;270;;;;-;;170;634;211
Specogna;Giuseppe;Friuli MTB;B;;;;;;;;;;;;;335;;;;293;;;628;314
Zabukovec;Klemen;PD Ajdovščina;B;1:12:56;21;121;;;139;;;;201;161;;;;;;;;121;622;156
Močnik;Griša;OK Polaris;B;0:26:39;4;383;;;;;;;;;;;;;;;236;383;619;310
Sturni;Matteo;Orienteering Trieste;B;;;;;;;;;;;;;280;;;;314;;;594;297
Sedej;Vlado;OK Azimut;B;;;;;;;;;;;357;;;;226;;;;;583;292
Foški;Tajda;OK Polaris;B;;;;324;;;;;;;;;;;;;;253;;577;288
Volčič;Maša;OK Tivoli;B;;;;276;;;;;;291;;;;;;;;;;567;284
Cafagna;Michele;Orienteering Trieste;B;;;;;;;;;;;;;311;;;;250;;;561;280
Bertoni;Mario;Orienteering Trieste;B;;;;;;;;;;;211;;347;;;;;;;558;279
Salaris;Lisa;Orienteering Trieste;B;;;;;;;;;;;302;;252;;;;;;;554;277
Bukovnik;Tina;RJZ Velenje;B;;;;;222;154;;176;;;;;;;;;;;;552;184
Mirnik;Jona;OK Komenda;B;;;;;278;;265;;;;;;;;;;;;;543;272
Bratina;Kaja;PD Ajdovščina;B;;;;;;;;;;192;344;;;;;;;;;536;268
Aljančič;Nataša;;B;0:26:28;3;389;;;;;;;;;-;;;130;;;;389;519;260
Kuzmin;Anka;Semiperdo Maniago;B;;;;;;;;;;;;;222;;;;296;;;518;259
Selem;Luca;Malipiero;B;;;;;;;;;;;247;;255;;;;;;;502;251
Foški;Brina;OK Polaris;B;0:37:19;13;260;;;;;;;237;-;;;;;;;;260;497;248
Predonzan;Roberto;Orienteering Trieste;B;;;;;;;;;;;;;244;;;;246;;;490;245
Lipužič;Marjeta;OK Komenda;B;;;;213;;;;;;;;267;;;-;;;;;480;240
Hrovat;Maj;OK Trzin;B;;;;249;;;228;;;;;;;;;;;;;477;238
Xausa;Gabriella;Friuli MTB;B;;;;;;;;;;;255;;;;;;220;;;475;238
De Cristini;Chiara;SSD Gaja;B;;;;;;;;;;;183;;290;;;;;;;473;236
Bolzonella;Manuela;Malipiero;B;;;;;;;;;;;267;;203;;;;;;;470;235
Pobežin;Katarina;OK Polaris;B;0:35:29;10;282;;;;-;;;177;;;;;;;;;282;459;230
Špendl;Martin;OK Trzin;B;;;;197;;;257;;;;;;;;;;;;;454;227
Visintin;Federica;Semiperdo Maniago;B;;;;;;;;;;;-;;259;;;;192;;;451;226
Cereatti;Roberto;Friuli MTB;B;;;;;;;;;;;;;232;;;;215;;;447;224
Sepin;Claudio;SSD Gaja;B;;;;143;;;;;;;276;;-;;;;;;;419;210
Tomažin;Urša;OK Azimut;B;;;;;;;;;;;416;;;;;;;;;416;416
Viviani;Irene;CAI XXX Ottobre;B;;;;;;;;;;;238;;;;;;161;;;399;200
Strukel;Giuliana;CAI XXX Ottobre;B;;;;;;;;;;;113;;129;;;;150;;;392;131
Nardi;Mauro;Semiperdo Maniago;B;;;;;;;;;;;385;;;;;;;;;385;385
Tonolo;Silvano;EREBUS;B;;;;;;;;;;;377;;;;;;;;;377;377
Zanardi;Stefano;Swallows;B;;;;;;;;;;;354;;;;;;;;;354;354
Krhlikar;Denis;OK Azimut;B;0:55:03;19;166;;187;;;;;;;;;;;;;;166;353;176
Venir;Raffaele;Semiperdo Maniago;B;;;;;;;;;;;350;;;;;;;;;350;350
Albano;Alessia;CAI XXX Ottobre;B;;;;;;;;;;;347;;;;;;;;;347;347
Humar;Matjaž;ind.;B;;;;;345;;;;;;;;;;;;;;;345;345
Takala;Piia;Ylistaron KilpaVeljet;B;;;;;;;;;;;;;340;;;;;;;340;340
Lapajne;Janko;OK Azimut;B;;;;;;;;;;;339;;;;;;;;;339;339
Jeram;Nuša;OK Azimut;B;;;;337;;;;;;;;;;;;;;;;337;337
Sbrizzi;Paolo;Friuli MTB;B;;;;;;;;;;;192;;145;;;;-;;;337;168
Keresteš;Mateja;OK Trzin;B;;;;;;172;165;;;;;;;;;;;;;337;168
Tumpej;Jure;Taborniki;B;;;;;;;;336;;;;;;;;;;;;336;336
Ferenc;Julija;OK Tivoli;B;;;;;;;;;;;;331;;;;;;;;331;331
Felchero;Mauro;Friuli orienteering;B;;;;;;;;;;;;;;;;;326;;;326;326
Lenarduzzi;Fulvio;ORSCHOOL;B;;;;;;;;;;;326;;;;;;;;;326;326
Zupin;Maddalena;CAI XXX Ottobre;B;;;;;;;;;;;323;;;;;;;;;323;323
Insigna;Livio;SSD Gaja;B;;;;;;;;;;;;;322;;;;;;;322;322
De Luisa;Andraž;SSD Gaja;B;;;;316;;;;;;;;;;;;;;;;316;316
Kremžar Pančur;Kim;OK Komenda;B;;;;;;;;;;;;304;;;-;;;;;304;304
Jerman;Lara;OK Trzin;B;;;;299;;;;;;;;;;;;;;;;299;299
Debeljak;Maruša;OK Polaris;B;0:35:23;9;286;;;;;;;;;;;;;;;;286;286;286
Dremel;Ula;OK Trzin;B;;;;284;;;;;;;;;;;;;;;;284;284
Ghersi;Giorgio;Orienteering Trieste;B;;;;;;;;;;;284;;;;;;;;;284;284
Mešinovič;Rahmo;OK Tivoli;B;;;;;;;;;;;;275;;;;;;;;275;275
Poljanšek;Marjanca;OK Azimut;B;0:36:17;11;274;;;;;;;;;;;;;;;;274;274;274
Burger;Veronika;OK Polaris;B;;;;273;;;;;;;;;;;;;;;;273;273
Škvarč;Dejan;PD Ajdovščina;B;;;;;;272;;;;;;;;;;;;;;272;272
Ghersi;Alice;Orienteering Trieste;B;;;;;;;;;;;263;;;;;;;;;263;263
Vergerio;Pierpaolo;SSD Gaja;B;;;;;;;;;;;107;;151;;;;;;;258;129
Giudici;Piero;Orienteering trieste;B;;;;;;;;;;;;;;;;;256;;;256;256
Ferro;Marisa;Semiperdo Maniago;B;;;;;;;;;;;117;;125;;;;-;;;242;121
Koradin;Rene;PD Ajdovščina;B;;;;;;;;;;;;;239;;;;;;;239;239
Lampič;Zala;OK Azimut;B;;;;;;;;;235;;;;;;;;;;;235;235
Favretto;Luana;Orienteering Trieste;B;;;;;;;;;;;235;;;;;;;;;235;235
Bambič;Urša;ind.;B;;;;;;;;;;;;233;;;;;;;;233;233
Mandič;Igor;OK Polaris;B;;;;;;;;;;;;;;;;;;230;;230;230
Kolar;Ana Marija;RJZ Velenje;B;;;;;;;;216;;;;;;;;;;;;216;216
Petkovšek;Gal;OK Azimut;B;;;;;212;;;;;;;;;;;;;;;212;212
Cereser;Elvio;Corivorivo;B;;;;;;;;;;;;;209;;;;;;;209;209
Čufer;Ana;PD Ajdovščina;B;;;;209;;;;;;;;;;;;;;;;209;209
Černigoj;Nina;PD Ajdovščina;B;;;;;;;;;;207;;;;;;;;;;207;207
Salaris;Gianni;Orienteering Trieste;B;;;;;;;;;;;207;;;;;;;;;207;207
Modic;Gašper R;;B;;;;;;;;;;;;;;;;;;207;;207;207
Pavan;Marco;Semiperdo Maniago;B;;;;;;;;;;;;;;;;;199;;;199;199
Sovran;Francesca Ssd Gaja;Semiperdo Maniago;B;;;;;;;;;;;199;;;;;;;;;199;199
Cigoj;Jure;PD Ajdovščina;B;;;;;;190;;;;;;;;;;;;;;190;190
Ukmar;Anže;PD Ajdovščina;B;;;;;;;;;;;188;;;;;;;;;188;188
Mantovani;Antonella;Cai xxx ottobre;B;;;;;;;;;;;;;;;;;188;;;188;188
Foški;Mojca;OK Polaris;B;;;;;;;;;;183;;;;;;;;;;183;183
Robida;Denis;RJZ Velenje;B;;;;;;;;181;;;;;;;;;;;;181;181
Demir;Rafaela;ind.;B;;;;;;;;;180;;;;;;;;;;;180;180
Gratton;Donatella;CAI XXX Ottobre;B;;;;;;;;;;;178;;;;;;;;;178;178
Ruzzier;Margherita;Cai xxx ottobre;B;;;;;;;;;;;;;;;;;176;;;176;176
Krivičič;Dragan;;B;;;;;;;;;;;;;;;173;;;;;173;173
Novak;Anže Gorjan;OK Komenda;B;;;;;;;;173;;;;;;;;;;;;173;173
Palusa;Martina;CAI XXX Ottobre;B;;;;;;;;;;;172;;;;;;;;;172;172
Kop;Eva;ind.;B;;;;;;;;;;;;170;;;;;;;;170;170
Zager;Živa;RJZ Velenje;B;;;;;-;;;-;;;;158;;;;;;;;158;158
Volk;Žiga;RJZ Velenje;B;;;;;;;;158;;;;;;;;;;;;158;158
Endler;Adriano;Cai xxx ottobre;B;;;;;;;;;;;;;;;;;157;;;157;157
Lin;Fiorella;Semiperdo Maniago;B;;;;;;;;;;;;;156;;;;;;;156;156
De Monte;Tiziana;CAI XXX Ottobre;B;;;;;;;;;;;65;;85;;;;;;;150;75
Jordan;Paolo;CAI XXX Ottobre;B;;;;;;;;;;;;;148;;;;;;;148;148
Triglav;S S K;ind.;B;;;;;;;;;;141;;;;;;;;;;141;141
Dobelšek;Simon;;B;;;;;;;;;;;;;;;139;;;;;139;139
De Luisa;Marko;SSD Gaja;B;;;;139;;;;;;;;;;;;;;;;139;139
Mirnik;Pia;RJZ Velenje;B;;;;;;;;137;;;;;;;;;;;;137;137
Špenko;Jure;;B;1:08:36;20;132;;;;;;;;;;;;;;;;132;132;132
Colombo;Cristiano;Cai xxx ottobre;B;;;;;;;;;;;;;;;;;125;;;125;125
Crevatin;Patrizia;SSD Gaja;B;;;;;;;;;;;124;;;;;;;;;124;124
Ruini;Marco;CAI XXX Ottobre;B;;;;;;;;;;;;;118;;;;-;;;118;118
Drev;Jernej;RJZ Velenje;B;;;;;;;;112;;;;;;;;;;;;112;112
